id,thumbnail,alt,title,description,location,category,is_active,created_at,updated_at
1,030800-Paving Holland_Alun_Alun_Pekalongan.jpg,Pemasangan Paving Holland Warna,Pemasangan Paving Holland Warna,NULL,"Loc : Proyek Taman Alun Alun,Pekalongan",Swasta,TRUE,2024-07-12,2024-07-12
2,024320-Paving Holland_Proyek_Revitalisasi_Pasar-Prambanan.jpg,Pemasangan Paving Holland Motif,Pemasangan Paving Holland Motif,NULL,"Loc :  Proyek Revitalisasi Pasar Prambanan, Yogyakarta",BUMN,TRUE,2024-07-12,2024-07-12
3,023150-Paving Difabel_Alun-Alun_Pekalongan.jpg,Pemasangan Paving Difabel,Pemasangan Paving Difabel,NULL,Loc : Proyek Alun Alun Pekalongan,Swasta,TRUE,2024-07-12,2024-07-12
4,032930-Kansteen 50 Profil_Jalan_Kolonel_Sutarto-Solo.jpg,Pemasangan Kansteen 50 Profil,Pemasangan Kansteen 50 Profil,NULL,"Loc : Proyek Sepanjang Jl.Kolonel Sutarto, Solo",Swasta,TRUE,2024-07-12,2024-07-12
5,033000-Saluran Drainase U-Ditch-Proyek_Embung_Melikan_Boyolali.jpg,Pembangunan Saluran Pada Embung Melikan,Pembangunan Saluran Pada Embung Melikan,NULL,"Loc :  Proyek Embung Melikan, Boyolali",Swasta,TRUE,2024-07-12,2024-07-12
6,033553-Saluran Drainase U-Ditch_Pasar Mlonggo_Jepara.jpg,Pemasangan Saluran U-Ditch,Pemasangan Saluran U-Ditch,NULL,"Loc : Proyek Peningkatan Jalan Pasar Mlonggo, Lanjutan, Jepara",Swasta,TRUE,2024-07-12,2024-07-12
7,023104-Saluran U Ditch_Proyek_Kawasan_Wisata_Borobudur.jpg,Pemasangan Saluran U-Ditch oleh KSPN Boronudur,Pemasangan Saluran U-Ditch oleh KSPN Boronudur,NULL,Loc : Proyek Sepanjang Kawasan Wisata Borobudur,BUMN,TRUE,2024-07-12,2024-07-12
8,030617-Saluran U-Ditch_Proyek_Jalan_Ndoyo-Boyolali.jpg,Pekerjaan Pemasangan Saluran U-Ditch ,Pekerjaan Pemasangan Saluran U-Ditch ,NULL,"Loc : Proyek Pembangunan Saluran Drainas Jl Ndoyo, Boyolali",Swasta,TRUE,2024-07-12,2024-07-12
9,024240-Paving Decorative_Proyek_Tol_Pemalang-Batang.jpg,Pemasangan Paving Decorative,Pemasangan Paving Decorative,NULL,Loc : Proyek Pembangunan Jalan Tol Pemalang - Batang,BUMN,TRUE,2024-07-12,2024-07-12
10,023011-Box Culvert Ukuran Custom_Proyek_Jalan_Ruas_Jalan_Babadan_Ungaran_Timur.jpg,Box Culvert Ukuran Custom (2 Meter) Untuk Crossing Jalan,Box Culvert Ukuran Custom (2 Meter) Untuk Crossing Jalan,NULL,"Loc : Proyek Ruas Jalan Babadan, Ungaran Timur",Swasta,TRUE,2024-07-12,2024-07-12
11,121339-Box Culvert_Proyek_Saluran-Drainase_Tegaldowo_Pekalongan.jpg,Pemasangan Saluran Box Culvert ,Pemasangan Saluran Box Culvert ,NULL,"Loc : Proyek Saluran Irigasi Dusun Tirto, Tegaldowo, Pekalongan",Swasta,TRUE,2024-07-12,2024-07-12
12,121324-Kansteen S Besar_ Revitalisasi Danau UNS.jpg,Pemasangan Kansteen Type S Besar,Pemasangan Kansteen Type S Besar,NULL,Loc : Proyek Revitalisasi Danau UNS (Universitas Sebelas Maret),BUMN,TRUE,2024-07-12,2024-07-12
13,022621-Paving Grass Block_Revitalisasi_Pasar_Prambanan.jpg,Pemasangan Paving Grass Block Motif,Pemasangan Paving Grass Block Motif,NULL,"Loc : Proyek Revitalisasi Pasar Prambanan, Yogyakarta",BUMN,TRUE,2024-07-12,2024-07-12
14,025904-Paving Difabel_Proyek_MT Haryono-Semarang.jpg,Pemasangan Paving Difabel,Pemasangan Paving Difabel,NULL,"Loc : Proyek Jalan MT Haryono, Semarang",Swasta,TRUE,2024-07-12,2024-07-12
15,022606-Pagar Panel_Proyek_Tol_Solo-Kertosono.jpg,Pemasangan Pagar Panel Beton,Pemasangan Pagar Panel Beton,NULL,Loc : Proyek Jalan Tol Solo - Kertosono,BUMN,TRUE,2024-07-12,2024-07-12
16,121232-Paving Around Of Trees_ Revitalisasi Pasar Prambanan.jpg,Pemasangan Paving Around Of Trees,Pemasangan Paving Around Of Trees,NULL,"Loc : Pasar Prambanan, Yogyakarta",Swasta,TRUE,2024-07-12,2024-07-12
17,141506-Ready_Mix_Proyek_Gedung_Bela_Negara_Boyolali.jpg,Pembangunan Gedung Bela Negara,Pembangunan Gedung Bela Negara,NULL,Loc : Proyek Gedung Bela Negara Kab. Boyolali,Swasta,TRUE,2024-07-12,2024-07-12
18,142854-Paving-Holand_Motif_Ruko Babadan Semarang.jpg,Pemasangan Paving Holland Motif,Pemasangan Paving Holland Motif,NULL,"Loc : Proyek Ruko Babadan, Semarang",Swasta,TRUE,2024-07-12,2024-07-12
19,144802-Proyek_Saluran_U-ditch_Jalan Tol Boyolali.jpg,Pemasangan Saluran U-Ditch Jalan Tol Boyolali,Pemasangan Saluran U-Ditch Jalan Tol Boyolali,NULL,"Loc : Jalan Tol Ngasem, Exit Boyolali",BUMN,TRUE,2024-07-12,2024-07-12
20,145828-Proyek_Pembangunan_Saluran_Drainase_Penumping_Solo.jpg,Pembangunan Saluran Drainase Penumping Solo,Pembangunan Saluran Drainase Penumping Solo,NULL,"Loc : Penumping, Laweyan, Solo",Swasta,TRUE,2024-07-12,2024-07-12
21,151140-Ready_Mix_Proyek_Jalan_Papringan-Simo_Boyolali.jpg,Peningkatan Jalan Papringan - Simo,Peningkatan Jalan Papringan - Simo,NULL,Loc : Jalan Papringan Simo - Boyolali,Swasta,TRUE,2024-07-12,2024-07-12
22,151434-Ready_Mix_Proyek_Peningkatan_Jalan_Tompak-Cepgo.jpg,Pemeliharaan Jalan Tompak - Cepogo Boyolali,Pemeliharaan Jalan Tompak - Cepogo Boyolali,NULL,Loc : Jalan Tompak -Cepogo,Swasta,TRUE,2024-07-12,2024-07-12
27,144753-Proyek_Saluran_U-Ditch_Sirkuit_Boyolali.jpg,Pembangunan Saluran Drainase di Sirkuit Gokart Boyolali,Pembangunan Saluran Drainase di Sirkuit Gokart Boyolali,NULL,Loc : Sirkuit Gokart Boyolali,Swasta,TRUE,2024-07-12,2024-07-12
28,150212-Proyek_Saluran_U-Ditch_Kel.Jayengan_Surakarta.jpg,"Pembangunan Saluran Drainase, Jayengan Surakarta","Pembangunan Saluran Drainase, Jayengan Surakarta",NULL,"Loc : Kelurahan Jayengan, Surakarta",Swasta,TRUE,2024-07-12,2024-07-12
29,150632-Perbaikan_Jalan_Profesor_Soeharso_Boyolali.jpg,"Proyek Perbaikan Jalan Profesor Soeharso, Boyolali","Proyek Perbaikan Jalan Profesor Soeharso, Boyolali",NULL,"Loc : Jalan Profesor Soeharso, Kragilan, Boyolali",Swasta,TRUE,2024-07-12,2024-07-12
30,152515-Pekerjaan_Saluran_Cor_DiTempat.jpg,Pekerjaan Saluran Cor Di Tampat (Cast in Situ),Pekerjaan Saluran Cor Di Tampat (Cast in Situ),NULL,"Loc : Jalan Susilo Harjodoyo, Boyolali",Swasta,TRUE,2024-07-12,2024-07-12
31,145353-Pemasangan_Paving_Holand_RSUD_Sukoharjo.jpg,Pemsangan Paving Holand Motif di Halaman RSUD Sukoharjo,Pemsangan Paving Holand Motif di Halaman RSUD Sukoharjo,NULL,Loc : RSUD Sukoharjo,Swasta,TRUE,2024-07-12,2024-07-12
32,160802-Pemasangan_Box-Culvert_RSUD Moewardi Solo.jpg,Pekerjaan Irigasi Box Culvert di Jalur Pedestrian RSUD Moewardi Solo,Pekerjaan Irigasi Box Culvert di Jalur Pedestrian RSUD Moewardi Solo,NULL,Loc : Rumah Sakit RSUD Moewardi Surakarta,Swasta,TRUE,2024-07-12,2024-07-12
33,161109-Ready_Mix_Proyek_Pembangunan_Pasar_Hewan-Boyolali.jpg,Pembangunan Pasar Hewan Boyolali,Pembangunan Pasar Hewan Boyolali,NULL,Loc : Pasar Hewan Boyolali,Swasta,TRUE,2024-07-12,2024-07-12