id,name,slug,deskripsi,category,dimension,utility,quality,youtube_link,is_active,created_at,updated_at
1,Paving Holland,paving-holland,"Paving Block yang dibuat dengan menggunakan metode ""WetCast"" atau cetak basah, sehingga menghasilkan jenis paving block yang innovative, dengan permukaan yang lebih halus dari pada paving pada umumnya. Paving ini juga mempunyai ukuran yang ideal, karena mudah diaplikasikan dan memiliki pola yang beraneka ragam serta berbagai pilihan warna.  ",1,20 x 10 x 6,"Konstruksi Parkir, Jalan, Trotoar",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
2,Paving Difabel,paving-difabel,"Paving block dengan ukuran dan bentuk standard internasional bermotif garis garis yang di produksi untuk menunjang aksesibilitas bagi penyandang disabilitas, yakni penyandang tuna netra. Dengan motif  bergaris - garis yang berfungsi untuk menandakan jalan lurus  ",1,30 x 30 x 5,"Konstruksi Parkir, Jalan, Trotoar",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
3,Paving Blind Hold,paving-blind-hold,"Paving block dengan ukuran dan bentuk standard internasional yang mempunyai motif bulat - bulat di permukaanya ,yang di produksi untuk menunjang aksesibilitas bagi penyandang disabilitas, yakni penyandang tuna netra. Dengan motif  bulat-bulat yang berfungsi untuk menandakan berhenti atau belok.  ",1,30 x 30 x 5,"Konstruksi Parkir, Jalan, Trotoar",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
4,Paving Decorative,paving-decorative,"Paving Block yang dibuat dengan menggunakan metode ""WetCast"" atau cetak basah, dan menghasilkan produk inovasi yaitu Paving Decorative, dengan motif yang berupa garis - garis diatas permukaanya, yang berfungsi untuk mengurangi licin pada saat musim hujan, karena air akan mengalir melalui garis - garis dan meresap dicelah - celah antara paving yang satu dengan yang lainya  ",1,50 x 25 x 6 ,"Konstruksi Parkir, Jalan, Trotoar",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
5,Paving Grass Block Motif,paving-grass-block-motif,"Paving Grass Block adalah produk inovasi dari paving block, yang dikhususkan untuk perkerasan area taman, dan sebagainya. Hampir sama fungsinya dengan Paving Block, hanya bedanya Paving tersebut memiliki rongga khusus yang dapat ditanami rumput, dan pada saat hujan air mudah dapat terserap kedalam tanah. ",1,25 x 25 x 6,"Konstruksi, Taman",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
6,Paving Around Of Trees,paving-around-of-trees,"Paving Around Of Trees meruakan produk inovasi dari paving block yang difungsikan untuk pengganti buis beton yang biasanya untuk ditanami pohon. Dengan lubang besar yang terdapat di  ditengah, digunakan untuk ditanami pohon, dan lubang kecil yang digunakan pada saat hujan, air dengan mudah dapat masuk kedalam tanah. Sehingga kesuburan pohon masih terjaga.  ",1,50 x 50 x 6,"Konstruksi, Taman",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
7,Saluran U-Ditch Precast,saluran-uditch-precast,"Saluran dari beton bertulang dengan  bentuk penampang huruf U dan juga  bisa diberi tutup. Umum nya digunakan  untuk saluran drainase atau irigasi.  Ketinggian saluran terbuka ini dapat  bervariasi mengikuti kebutuhan  dilapangan atau elevasi saluran yang  di inginkan.    
Produk saluran U-DItch juga terbagi menjadi dua tipe yaitu Heavy Duty (HD) dan Light Duty (LD).  ",3,Custom,"Drainase, Saluran Irigasi",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
8,Cover U-Ditch Precast,cover-uditch-precast,"Cover U-Ditch merupakan tutup saluran air drainase beton pracetak yang berbentuk huruf U atau U Ditch, yang berbahan semen, kerikil, abubatu dan pasir besi tulangan yang juga disertai air. Cover U Ditch tersebut juga memiliki dua macam tipe , yaitu Heavy Duty (HD) dan Light Duty (LD). ",3,Custom,Tutup U-Ditch,K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
9,Box Culvert Precast,box-culvert-precast,"Box culvert adalah salah satu jenis beton precast yang sering digunakan pada konstruksi saluran air, sehingga kerap disebut juga dengan gorong-gorong.
Sesuai dengan namanya, Box Culvert adalah beton precast yang berbentuk persegi atau kotak dengan ukuran yang sudah ditentukan. Box Culvert juga memiliki spigot dan socketnya. Kegunaan spigot dan socketnya adalah untuk menjadikan box culvert ini kedap terhadap masuknya air tanah (eksfiltrasi) dan tetap menyatu saat terjadi pergeseran tanah.
Kami juga memiliki dua macam tipe Box Culvert, yaitu Heavy Duty (HD) dan Light Duty (LD).
    ",3,Custom,"Saluran Drainase, Crossing",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
10,Kansteen Type L,kansteen-type-l,"Kansteen type L  dengan metode ""Wet Cast"" atau cetak basah yang merupakan produk beton yang berfungsi sebagai penguat tepi jalan. Kansteen beton juga digunakan pada trotoar, separator, tepi badan jalan, jalan taman, boulevard, pembatas taman dan sebagainya. Dinamakan Kansteen L karena bentuk dan desain menyerupai huruf L.    ",4,60 x 38 x (27 x 12),"Trotoar, Tepi Badan Jalan",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
11,Kansteen Type L Profil,kansteen-type-l-profil,"Kansteen type L Profil, merupakan produk beton yang dicetak dengan menggunakan metode ""Wet Cast"" cetak basah, yang berfungsi sebagai penguat tepi jalan yang dipasang  pada trotoar, separator, tepi badan jalan, jalan taman, boulevard, pembatas taman dan sebagainya. Berbeda dari Kansteen L biasa, Kansteen L Profil ini mempunyai tinggi dan ketebalan yang khusus.            ",4,60 x 40 x (12 x 20),"Trotoar, Tepi Badan Jalan",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
12,Kansteen Type S Kecil,kansteen-type-s-kecil,"Kansteen type S Kecil, merupakan kansteen yang berbentuk seperti huruf S dengan memiliki ketebalan dan tinggi yang khusus, serta mempunyai fungsi yang sama dari model Kansteen sebelumnya. Kansteen type S Kecil ini sudah menggunakan metode Cetak Basah 
(Wet Cast) dimana permukaan dan teksturnya sudah halus sehingga saat pemasangan tidak diwajibkan untuk di finishing / di cat.     ",4,50 x 35 x ( 7 x 14 ),"Trotoar, Tepi Badan Jalan",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
13,Kansteen Type S Besar,kansteen-type-s-besar,"Kansteen type S Besar, merupakan kansteen yang berbentuk seperti huruf S dengan memiliki ketebalan dan tinggi yang khusus, serta mempunyai fungsi yang sama dari model Kansteen sebelumnya. Kansteen type S Besar ini sudah menggunakan metode Cetak Basah (Wet Cast) dimana permukaan dan teksturnya sudah halus sehingga saat pemasangan tidak diwajibkan untuk di finishing / di cat.     ",4,60 x 30 x (11 x 17),"Trotoar, Tepi Badan Jalan",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
14,Kansteen Type 50 Profil,kansteen-type-50-profil,"Kansteen 50 Profil merupakan produk beton yang mempunyai fungsi sama dengan Kansteen jenis lainnya, hanya saja Kansteen 50 Profil ini mempunyai bentuk dan ukuran yang berbeda dari Kansteen lainnya.     ",4,50 x 50 x 15,"Trotoar, Tepi Badan Jalan",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
16,Kansteen Precast Persegi,kansteen-precast-persegi,"Kansteen Persegi merupakan produk beton yang berfungsi sebagai penguat tepi jalan yang dipasang paving block. Kanstein beton juga digunakan pada trotoar, separator, tepi badan jalan, jalan taman, boulevard, pembatas taman dan sebagainya.  Dinamakan kansteen persegi karena mempunyai bentuk yang sama dengan bidang persegi  . ",4,(50/40) x 20 x 10,"Trotoar, Tepi Badan Jalan",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
17,Pagar Panel Beton Standard,pagar-panel-beton-standard,"Pagar Panel Beton Standard merupakan salah satu produk beton precast atau precast concrete, yang disusun pada kolom penjepit untuk kebutuhan pagar tembok karena pengerjaannya yang lebih praktis dan cepat.     ",2,Custom,"Pagar, Konstruksi Pengairan atau Irigasi.",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
18,Pagar Panel Beton Decorative,pagar-panel-beton-decorative,"Pagar Panel Decorative merupakan salah satu produk beton precast atau precast concrete, yang disusun pada kolom penjepit untuk kebutuhan pagar tembok yang memiliki textsture dan motif yang berbeda dari Panel Standard.  ",2,Custom,"Pagar, Konstruksi Pengairan atau Irigasi.",K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12
19,Concrete Barrier Precast,concrete-barrier-precast,"Barrier merupakan beton bertulang pra cetak yang digunakan sebagai dinding pemisah, pembatas jalan atau penahan di jalan raya dan di jalan tol, dengan ketinggian dan bentuk yang bervariasi. ",5,Custom,Pembatas Jalan,K350 s/d K700,NULL,TRUE,2024-07-12,2024-07-12